"ACCURACY","ACCURACY,	ROC_AUC_SCORE"
0.51808972503618,0.74593879602192
0.51808972503618,0.7385317498994
0.53545586107091,0.74290778975316
0.54269175108538,0.75319649523352
0.64544138929088,0.83267809223723
0.64833574529667,0.84972857449496
0.65123010130246,0.84922402465375
0.65412445730825,0.84166381817169
0.65557163531114,0.84818304174406
0.65701881331404,0.84286316034645
0.65701881331404,0.85068738075025
0.65991316931983,0.84414925163747
0.65991316931983,0.84217640458876
0.67583212735166,0.84753901189997
0.67727930535456,0.84561099679599
0.69030390738061,0.85439798115178
